observations,centile,subject_ids,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MEDIAL_WALL,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
18,0.05,18,1.5564017338394898,1.0942086408999812,0.6895084372734198,1.5969744876099101,0.10563243208264511,1.8364126298534076,0.817994501262041,1.556488811256489,1.3122357501075792,1.1480059488249845
18,0.25,18,1.7336833220049883,1.293259222310485,1.1385013449446462,1.7344378329585528,0.14588956293914798,2.086920369201597,0.976661329190023,1.6664079102890081,1.4506799132460362,1.3414917335990337
18,0.5,18,1.80965561664148,1.3782945060321306,1.2953477901655606,1.8061209270995802,0.1652753756559478,2.1806814963108434,1.04613294998699,1.723726043982655,1.5143211955803895,1.4231220984614532
18,0.75,18,1.8750993635179807,1.4335765788493207,1.3868316604291093,1.877862515723218,0.17905775898957282,2.2571028482299873,1.1068823329818922,1.7801726521621448,1.5631632448657222,1.5049396843948253
18,0.95,18,1.973613963653977,1.4963429032341882,1.4941642140325786,1.9918341726532467,0.19394105143393509,2.3720558339339393,1.201161209999352,1.8680184835411087,1.6249535940254594,1.6395134689506858
19,0.05,19,1.5770593809870683,1.2319815238593939,1.0813894930600014,1.5405707536614621,0.13310132591453036,1.9661803425637543,0.8756694688540196,1.5248678147496004,1.3073364257470055,1.2410237356912233
19,0.25,19,1.737170118682082,1.363216756320109,1.282056442818525,1.6962897234479448,0.1650646342419117,2.1311317007066686,1.0061280273994166,1.6454401443479605,1.4548386691242774,1.3575258335807292
19,0.5,19,1.808110026619445,1.4183934860299765,1.3602152381022485,1.7694658897077982,0.17943924020954707,2.203559401932185,1.0683940584266896,1.7037638051380404,1.520925911806099,1.417259131257887
19,0.75,19,1.8695451929665008,1.4604814751409438,1.4219588999223842,1.83679712196935,0.19049248760347162,2.269386546487129,1.127768165174518,1.7583478498385803,1.57165770853998,1.4769072272074952
19,0.95,19,1.9610051200408103,1.5160506403004947,1.5056841544732082,1.9400720388954107,0.204388762533219,2.369690518686619,1.2226204801518115,1.84151797964849,1.6371641651866362,1.571121341160789
20,0.05,20,1.642622729038734,1.3455901904684797,1.2555855791029606,1.5774175145170009,0.16561595751959068,2.0033401360321745,0.8417418873765651,1.523569541831479,1.4283234963568847,1.1952772817393447
20,0.25,20,1.7655315180812765,1.4186122024394658,1.3445153468803501,1.7108947907685976,0.18588261817296406,2.130625911457741,0.9827085825905002,1.6414458330543615,1.5347771426766186,1.2942376404762392
20,0.5,20,1.8257709972268616,1.455616358596634,1.391418317540116,1.7776914061746805,0.1966352797378314,2.1912198703592622,1.0468584328048411,1.6984446093577388,1.5877728257358537,1.343526597903133
20,0.75,20,1.8815748653465276,1.489459758757324,1.4341339401617905,1.8408465013333242,0.20669646560176916,2.2455926229042356,1.103662433359603,1.751116738513661,1.6372590113048884,1.3848350517878423
20,0.95,20,1.9659145548012154,1.5382923582479207,1.4941575559411848,1.937793688059819,0.2212025593421316,2.3254020204527284,1.1909598296298816,1.8305378473699883,1.7105831901260198,1.4407641354308347
21,0.05,21,1.639023420166545,1.3463472319343053,1.2650270238426982,1.5775185278991526,0.16471325971256853,1.9956564997828692,0.8508810430143393,1.5211169100401807,1.4311968258613632,1.184857271653521
21,0.25,21,1.7631756334998672,1.4188881956979813,1.3501505432128411,1.7108197475058464,0.1853399751642631,2.1256432898263915,0.9879062249576774,1.6399653891792054,1.5367518098865198,1.286340834480171
21,0.5,21,1.8236591410878995,1.455736115617834,1.3959521925395648,1.7775436631823662,0.19617760203283843,2.186851927556133,1.0509742682333156,1.6971675572116558,1.589645742456933,1.336798235680477
21,0.75,21,1.879362718109763,1.4894621964587802,1.4380810408661224,1.8406135486556572,0.20627338454164257,2.2411202500312317,1.1076985736311522,1.7498241779417383,1.6392685794839623,1.3784424716142052
21,0.95,21,1.9633080452409546,1.5381259904013143,1.49758788681476,1.9374007667803688,0.22080172846477503,2.32021280873666,1.195518650029062,1.829083213836026,1.7129572171995502,1.4338200510585506
22,0.05,22,1.641166594510321,1.3460397487173297,1.2599379972264309,1.5775554502744256,0.16523775160974835,2.0001669627367726,0.8457906060278949,1.5225686534821157,1.4296508614582868,1.1906541909568085
22,0.25,22,1.7645630667432168,1.4188001030008657,1.3470928025418678,1.7109109252669974,0.18565488085985787,2.1285412527109053,0.9850033555141178,1.6408343396845668,1.5356822293188745,1.2907293787756753
22,0.5,22,1.8248931997799618,1.455722499386938,1.3934821082623126,1.7776645306063192,0.19644306215985982,2.1893727352098287,1.0486633779721075,1.6979124659130898,1.5886266408837766,1.3405227175371803
22,0.75,22,1.8806468508707348,1.4895089722462018,1.4359245785534618,1.840777901564004,0.20651884921157948,2.243684988428874,1.105423099277333,1.7505739096857391,1.638171406286811,1.381962648105798
22,0.95,22,1.9648094657761521,1.5382639234899607,1.4957079796100994,1.9376510253998867,0.22103456063042382,2.323169311993276,1.1929404951481626,1.8299208971171614,1.7116564956056206,1.437623995442659
