observations,centile,subject_ids,subvol_Cornea,subvol_L_Accumbens_area,subvol_L_Amygdala,subvol_L_Caudate,subvol_L_Cerebellum_Cortex,subvol_L_Cerebellum_White_Matter,subvol_L_Cerebral_Cortex,subvol_L_Cerebral_White_Matter,subvol_L_Claustrum,subvol_L_Hippocampus,subvol_L_Lateral_Ventricle,subvol_L_Pallidum,subvol_L_Putamen,subvol_L_Substancia_Nigra,subvol_L_Thalamus_Proper,subvol_L_VentralDC,subvol_R_Accumbens_area,subvol_R_Amygdala,subvol_R_Caudate,subvol_R_Cerebellum_Cortex,subvol_R_Cerebellum_White_Matter,subvol_R_Cerebral_Cortex,subvol_R_Cerebral_White_Matter,subvol_R_Claustrum,subvol_R_Hippocampus,subvol_R_Lateral_Ventricle,subvol_R_Pallidum,subvol_R_Putamen,subvol_R_Substancia_Nigra,subvol_R_Thalamus_Proper,subvol_R_VentralDC,subvol_T_Accumbens_area,subvol_T_Amygdala,subvol_T_Caudate,subvol_T_Cerebellum_Cortex,subvol_T_Cerebellum_White_Matter,subvol_T_Cerebral_Cortex,subvol_T_Cerebral_White_Matter,subvol_T_Claustrum,subvol_T_Cornea,subvol_T_Hippocampus,subvol_T_Lateral_Ventricle,subvol_T_Pallidum,subvol_T_Putamen,subvol_T_Substancia_Nigra,subvol_T_Thalamus_Proper,subvol_T_VentralDC,voxel_volume_mm3
2,0.05,2,149.80177269144326,94.20476723118269,237.7999816230068,511.3972447551948,2083.5928344333097,1056.7251730627927,18509.615476344843,8511.25997610174,220.32752713674836,402.81488450047686,360.2380054613693,270.70519390002596,739.4435308853634,72.50469684132881,913.2192112028105,164.78356966873184,95.11273493616207,242.83543493536126,536.9505710407498,1993.3423889086025,1049.2270300056389,18443.95993088671,8559.83672332241,219.28992336100526,402.9274318875752,330.51257057718186,266.4030021836958,745.3032997139941,73.97513713916912,912.7715726283145,165.40535510783937,189.63468876413424,479.49341429863665,1050.295085924539,4064.7427087141155,2106.0221762354054,36923.63659432831,17138.282630678423,439.4490023728042,149.80177269144326,802.9170926114946,689.6186691729981,539.469245032098,1490.768618719254,146.76235547680508,1828.2813128462967,331.23611743202247,0.015090585324627287
2,0.25,2,162.4550832179383,102.8042204184816,260.00875951772474,569.2279398428136,2262.1152003549487,1153.4337319800036,20164.4012894264,9398.25482100041,240.49980136082496,438.35587688146484,393.3668237081487,296.57320704250196,804.3178408463364,79.67752829309784,987.6827623280133,179.16398488086307,103.81735163082507,264.1620324563784,596.3785829080842,2165.1674749591525,1140.7020134882453,20151.384494192007,9427.984326181786,239.7919354345033,438.0004425513356,361.3790601165176,294.2679945528872,808.6997881158072,80.90148292220599,985.4125842889813,178.90176768343926,206.81300912290465,523.9568902916047,1166.3166931690832,4421.211840157297,2296.012299652832,40303.29922310668,18844.943407189825,480.3383172221635,162.4550832179383,875.9548437921335,754.3235831955401,590.9887332141689,1616.866833898206,160.86367518067928,1973.0263289567847,358.3182880824259,0.029084267579244302
2,0.5,2,170.4966382326953,108.28979090618736,273.57245845669036,605.9175936805538,2377.7013134975314,1216.1829746260755,21220.383686674064,9951.144626118108,253.59047052230758,460.3610507298115,413.8471616827587,313.0443560270419,847.8703815428363,84.47108602211406,1035.3208648617049,188.55184139887507,109.3449115955662,277.54507318873135,634.0646321516432,2275.3652157300367,1201.060635138638,21232.52285733611,9969.637431468811,252.95034115529862,459.6857115543576,380.3382797668575,311.49419293134827,850.8283301345364,85.54331104096059,1032.323631949253,187.88995710744,217.71309998965035,551.2582329182567,1240.0746638301373,4651.80423888136,2418.706538107301,42450.43436106806,19917.506009640245,506.5851264395161,170.4966382326953,920.4352670384566,794.0962655074284,623.9087158654418,1700.2623504122903,170.17336878355027,2066.533194928036,376.3591984498674,0.038325816269783326
2,0.75,2,178.30034412938065,114.14356167927444,287.0575169501444,646.0634619442533,2500.340817094134,1282.245603275233,22323.403620484183,10507.044921359611,267.719362510892,482.7399335985534,434.4460371222916,330.3885795930959,897.1110583123533,89.31706349764154,1085.0920311914028,197.86455138907831,115.30312134338477,291.09573170848296,675.1466378882546,2391.486287822819,1265.7020604858785,22362.920109337105,10516.400053153915,267.21761088591006,481.72897788212373,399.3259424352856,329.161167700738,897.7737738594088,90.27755984206236,1082.1916569414261,197.00218769255014,229.3436862667564,578.5007010021739,1320.5304421266937,4897.818089988197,2547.331718262392,44697.01948116429,21001.063715866207,534.9586186065563,178.30034412938065,965.3122577035489,834.1665039171222,658.6000217610103,1792.0110658564136,179.5121749822948,2166.078293556756,394.5239709260949,0.04726491787622247
2,0.95,2,189.9439763222817,124.47580712961803,309.0356912807855,721.0717276106386,2713.407347842375,1394.699922822727,24202.681892787605,11417.63646168326,293.034817983901,520.5014306363797,468.75376057810035,361.26110346941937,988.4509260164078,96.93947389770261,1170.51405163987,212.1546767508814,126.17661151751004,313.82207997901077,751.1242650455459,2589.828231486763,1378.7236368764568,24299.194200094764,11421.087272770326,293.125468115113,519.3033204630981,430.731236180696,359.4278240989251,982.979056231007,97.90367110923434,1171.5228482710872,211.55705405416847,249.9488392749486,623.2519231504021,1469.3014446015306,5329.384844656279,2764.5336604623308,48548.28489090333,22783.957327066568,586.2594744451799,189.9439763222817,1040.940490824623,901.6502002406896,720.5420726315938,1954.218155177021,194.10068149974296,2345.0673773287563,422.8645420889794,0.059753885150449035
3,0.05,3,150.99982647274433,90.46787553661024,225.65513461476687,496.22339168769196,1941.3281159776334,994.2006841659972,16986.85370482957,8225.52593851986,209.03846583370773,401.2352112756391,363.98342354923113,263.6728131351464,697.0309259838482,71.6716289456003,900.8265041155076,167.7477728213072,91.10159680652333,231.98991688191037,521.2198603672618,1865.9387392192043,989.2126182186698,16893.882480577136,8262.688052766913,208.1156183352515,399.81439801505223,331.96208313002717,259.47091207735735,705.8070047306805,72.372303736074,901.5083210589764,168.69014262288388,181.99600480551788,457.64081545987955,1019.6087201010913,3805.0248345455957,1976.073263504059,33859.11846802814,16562.569357949673,416.9083363004251,150.99982647274433,799.2560020907177,696.2765533204031,527.227460567838,1401.5987894594355,144.1778428484029,1807.4936869566463,337.94748256399254,0.004151536596249006
3,0.25,3,164.88318928194658,100.40470873417392,252.06189703124738,560.154314699766,2165.16917421769,1110.5699842874847,19056.26355154225,9220.576658952321,232.32063277193873,440.299474894293,399.0976234614444,292.17517407251535,771.5795936297644,79.54961806268304,983.7952128238092,183.37839149668815,101.17269184475624,256.8303514636549,586.8266816448393,2077.938964241163,1099.3321257422465,19036.459123321914,9245.273337662726,231.80205728411934,438.99718377395885,365.4045656541673,290.1164512811337,779.2146710594247,80.00020603852334,981.297600513488,182.723568470421,201.81611948629865,509.2357500350205,1147.7437390077955,4239.512994946716,2210.628349663123,38085.4548865655,18484.264705011206,464.2227846204211,164.88318928194658,879.604484000542,764.3684490679993,582.8488264301851,1551.948769391098,159.81344551637446,1965.5950731008686,366.6039687240061,0.022153463674119543
3,0.5,3,173.72229720043984,106.36568691032166,267.39862147195487,599.0161559795891,2296.6707005671637,1180.6909989760713,20257.03420109535,9821.687500440597,246.3749283042375,464.423797236772,421.1801188863225,309.7356704623506,816.2503594484057,84.79013708329425,1035.991641569907,193.70882145150875,107.14359875589848,271.7312453295481,626.7011897347179,2201.6494065844736,1166.5854476458078,20266.445204902655,9837.533784684683,245.86345050964565,463.0164983396026,386.11351188230526,308.49412915070377,823.1017348406075,85.05562872436666,1032.0099469568602,192.23163485830153,213.61348252437512,539.539527648494,1225.8408530741056,4495.568152233023,2350.5159716438484,40522.738062267825,19653.650399185502,492.34410941103226,173.72229720043984,928.3126537654884,806.9054976727747,617.3973245249781,1640.6848475848124,170.0403668612888,2066.224752425006,385.9887008558323,0.03380827242213006
3,0.75,3,182.4732905557633,112.47476226830813,281.90356720623134,640.533711098116,2426.1355549413624,1250.5707271863312,21395.564783889342,10412.047742566088,260.5768157325538,489.5524058525114,444.32980740466644,327.81827130325206,862.3023696562593,90.1137049286285,1090.83324140054,204.28037423230626,113.25153875159472,286.16222959750286,669.1064596302073,2323.0355281320453,1234.7319248981505,21428.850229435786,10420.667139314068,260.07066222297703,487.953984317576,407.60344017203784,326.9602712877409,868.2939670474676,90.1903777371917,1086.1423256447301,202.17245062051038,225.63960383441426,568.4072635901765,1309.0124055253057,4748.893294223579,2489.492811312701,42830.814959442105,20807.33672904185,520.6908518149619,182.4732905557633,978.6213964686322,851.4850899441547,653.0035394998389,1730.7274986564794,180.29727732865356,2173.8228521256033,406.08743587685785,0.04494324120208029
3,0.95,3,196.06791984541508,123.16712738796913,304.8256577111878,718.327357533904,2642.669900448988,1366.794757979594,23200.51074464378,11372.392668322671,285.1917557146698,533.9178445368196,485.33566192875116,359.9139471911008,943.9891735312551,98.66543011252347,1187.398530483687,221.38920930080653,124.19118262250664,309.65939145249234,747.6584758023497,2523.198660933464,1351.3151344913595,23280.537690687186,11379.086603536432,284.97673936827164,532.7406447809948,445.27219588261477,358.51143823995835,947.5883541569459,98.54157075117946,1185.6103698875622,218.9047357815055,246.6648548519653,614.3546185501212,1463.1530599897478,5175.332388883614,2720.0854694748004,46507.92828421254,22692.632853277755,570.15622741513,196.06791984541508,1067.5013673937733,931.1475144202697,716.0860003681959,1885.0013605113397,196.56970829412012,2372.152900837617,438.96829197219296,0.06035209546512238
