observations,centile,subject_ids,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MEDIAL_WALL,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
12,0.75,12,1420.420975675903,4162.754758579425,1047.0869272441516,190.49187609443175,503.0878873983352,3149.4245637008357,144.33850752562938,2264.158283244337,7490.640304460455,1793.2139467734671
12,0.95,12,1581.2975480314008,4553.998580672529,1156.6239866525493,216.16204281623098,587.3506132009403,3459.975660264833,170.33744339500453,2504.7553367671344,8235.259165078203,1973.2232831699391
13,0.05,13,718.7803385276769,2469.6783984191134,585.5350073214479,103.41166090830085,326.42707442710616,1819.2786546714967,65.74948185849306,1333.2569517213662,4340.226122340331,1127.4567353944303
13,0.25,13,1017.6241354925808,3202.0736243079414,789.1368660381294,136.81772217910404,391.4517113804751,2425.6626588019785,95.74661993426149,1724.5546866855927,5520.356821118282,1516.1339797550863
13,0.5,13,1165.6136405606674,3586.727289958029,891.3462613052855,154.84543443029037,430.4271244262866,2720.6974225525473,110.76492125996707,1924.4587912251595,6137.73396015285,1696.095065190618
13,0.75,13,1287.679138065104,3933.656968531672,980.8889563222035,170.50695206339242,470.68293691681146,2969.1276680504902,123.08744570368883,2095.630096777546,6646.9217902814,1881.4009750855355
13,0.95,13,1493.8394494778358,4574.665817891444,1139.8021736029566,195.71131123132486,546.9049152152895,3384.512582029326,140.96209797866786,2375.5210334151484,7370.650761602951,2322.3333936343106
14,0.05,14,1145.9660007690452,3432.647615665721,838.0529554216366,147.4011880860998,368.0692826173463,2526.589875925086,102.18971632984781,1816.6767070956946,6139.885408775243,1410.7052455916196
14,0.25,14,1255.0063835668452,3718.1550025632246,920.9634082981082,164.93025149964075,420.74695905022924,2787.262181124123,120.19276187621102,2003.219620455631,6702.943044697338,1583.7958795755937
14,0.5,14,1328.7340694827647,3912.5382365270743,975.2945903107707,176.51149366480985,456.2220603841571,2949.0168283281805,131.320159532899,2123.275171009721,7080.212629876071,1684.1445583004004
14,0.75,14,1411.9149309184231,4126.503897153161,1033.9508752360193,189.47020776102426,496.7550614631666,3117.6787845036242,143.87949182982564,2253.4048629912973,7498.558620887573,1784.1795450135555
14,0.95,14,1568.0997334298686,4503.739828735018,1138.2677375787005,214.539927035217,577.4869352768718,3415.13223178435,169.5995279098511,2488.957648089854,8243.084184448624,1959.2657554631448
15,0.05,15,1070.2825078739747,3231.623225864784,802.8848998091305,136.88373081603166,345.49768634903904,2394.2131253241546,94.42148764347242,1681.7834756117927,5670.933844855828,1344.4559259348266
15,0.25,15,1193.6131158576648,3550.1630587719083,893.0557980475725,156.32191959168105,401.7316596468514,2686.9036704438527,114.41288646477534,1897.0972468849045,6323.267244399683,1538.464712077072
15,0.5,15,1268.6799426157402,3748.98785013149,948.7931120675191,168.13901208355276,436.93588629671785,2857.1881299125134,125.7285370242929,2022.984620147765,6709.33708847616,1645.6659894167674
15,0.75,15,1345.1324582130064,3950.394365561958,1005.8215723831589,180.07201545957025,474.1510061402958,3022.3594554654665,137.29056516282589,2145.4253860872977,7091.235479051738,1746.4590903650767
15,0.95,15,1479.1710981332174,4288.0849196491545,1103.6684097111554,201.28358573066845,543.7005918575794,3295.71080691532,159.33646153035386,2349.2311687145543,7726.524472100267,1913.4181804528334
16,0.05,16,1191.9141144831453,3481.3281747206934,872.7816652092142,167.0728451734541,393.98598192534433,2956.9151000756797,97.36471089904228,2035.007530006949,6182.954658179134,1602.666974101345
16,0.25,16,1310.9688452146856,3803.725492440767,961.9411759654129,185.7835790529396,446.26707413609665,3239.3848612658294,116.8859063588173,2230.0120714028158,6776.77620818341,1765.6745589766454
16,0.5,16,1402.1600196858913,4035.844241665016,1026.6390921353309,202.35514694741346,486.0638313066926,3492.4932630109993,128.27462240998642,2395.352721897196,7185.719332901333,1894.7401382479131
16,0.75,16,1516.7666665547572,4308.494607015655,1103.8095992666756,224.63472276819346,536.4620614738217,3820.6905880971103,140.47829340378732,2604.7465266247086,7653.792473975527,2064.0228792870885
16,0.95,16,1746.7029957808163,4812.352686854313,1251.558615836468,270.3424552531436,643.528181668548,4462.436344067789,164.84056008045917,3004.659507376665,8506.780135195297,2423.7342689688057
17,0.05,17,1157.9994505505222,3492.6116837848176,864.3105174289269,149.065970374374,380.51393667179434,2596.2277947646407,103.33361611554291,1835.2520646027424,6098.073518432224,1433.7362605454016
17,0.25,17,1267.7757092863912,3779.754431119719,945.7830626574529,166.56718466237666,432.0911367055415,2848.854233449057,121.10996236039234,2021.217578086775,6671.7724008131345,1604.5411790515145
17,0.5,17,1343.9398873161242,3982.9276211981755,1002.4133555132763,178.36383354234312,468.6706385951567,3013.387186616526,132.28134815061594,2143.35406046587,7051.30518033121,1705.7330665842367
17,0.75,17,1432.020046134567,4213.62868202149,1066.699767797568,191.87154407181686,512.4144134453908,3193.7330451135654,145.0954072810224,2278.5474131459077,7469.420897648985,1810.1229537546344
17,0.95,17,1600.2453136349955,4626.953283047742,1184.8106461098687,218.45568372667665,602.161011278843,3524.9327115425444,171.59536895152942,2526.938934905786,8213.066620202137,2000.0838042089817
18,0.05,18,1151.5291145215717,3458.989508899886,849.0684646594807,148.15621420274613,373.23181990874724,2557.0200009099276,102.6353743930233,1825.2080310824888,6128.49371700955,1418.871656518002
18,0.25,18,1260.5955475166393,3744.252873802643,931.0771184871448,165.6434160333677,425.3583394462155,2813.4501376446333,120.54126979381853,2011.1232332425593,6694.541657257096,1591.0300620283617
18,0.5,18,1335.1652401672643,3941.5879137302863,986.0724745210723,177.2964059501125,461.1871302481624,2975.718001605915,131.67833155942114,2131.83542536017,7072.508493893463,1691.5523467736148
18,0.75,18,1420.1753251233447,4161.699005310114,1046.696939708186,190.4624519593636,502.90055276307226,3148.5019373829914,144.32441661022148,2263.849624134677,7490.93142208657,1792.9249834367877
18,0.95,18,1580.9097918560349,4552.5180678835495,1156.0731882154028,216.11457342476749,587.0564414111761,3458.654095551829,170.3144326115637,2504.2943450169855,8235.551151122794,1972.771819594622
19,0.05,19,1065.4858419235425,3028.019646208138,724.3126003156646,153.02744276310963,337.1510282714312,2763.285959521581,88.81102494613702,1894.4414071486813,5709.9429220508655,1503.2872494160972
19,0.25,19,1213.8867197426778,3461.980380835346,850.1770491881292,172.22273553316532,396.89940191941366,3045.5232187335687,110.80914806232752,2099.311411877516,6415.132956130124,1695.2671233260521
19,0.5,19,1304.7824753279783,3716.7513094649835,920.9871127466535,186.28936010052107,433.57381934576233,3269.3399885779463,122.72656964986966,2248.607567518358,6836.19317908416,1826.3108750826268
19,0.75,19,1405.3459052304263,3970.4014310916205,988.92687365473,204.1244552594824,471.87916732960986,3556.9408624573625,134.2630971768533,2431.8063355658346,7272.249495046915,1992.5921887066359
19,0.95,19,1605.386609667365,4417.543326275091,1105.5881926601407,241.92583009629078,543.61201481949,4141.726324731611,155.36912692224158,2791.9866187036437,8042.517003562853,2359.1212905940934
20,0.05,20,1063.2313128663986,3194.4577615100056,785.5904182359819,135.90604802103815,337.3107120927533,2348.926390214587,93.59959632992636,1670.5594455460396,5709.784671755237,1326.5403246436074
20,0.25,20,1186.418068582277,3514.2746759251613,877.8430015638929,155.3873254367041,394.88810538682606,2649.0839696538724,113.79383168369077,1886.5699963513057,6350.025337072067,1522.9309480548163
20,0.5,20,1260.8649278326538,3711.7107921571,933.5900938796782,167.16876046670933,430.1974411614618,2821.1544931840535,125.14268259085276,2012.2780591742983,6731.764493587879,1630.6062313644466
20,0.75,20,1335.6188402405228,3907.740872820917,988.8211213230298,178.92968178397444,466.50511141054227,2983.73585459757,136.61585655229462,2133.2145830587997,7112.263072296045,1729.8503504059709
